subject,detail,verification_status,official_check_url,browser_prompt,notes
General,"Directors of a liquidated company are banned for 5 years from forming, managing or promoting any business with the same or a similar name to their liquidated company, subject to certain exceptions.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Directors of a liquidated company are banned for 5 years from forming, managing or promoting any business with the same or a similar name to their liquidated company, subject to certain exceptions.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Compulsory Liquidation,"For transactions at an undervalue (Section 238 IA 1986), insolvency is presumed if the transaction occurred within two years before insolvency.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): For transactions at an undervalue (Section 238 IA 1986), insolvency is presumed if the transaction occurred within two years before insolvency.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"Directors' general duties are set out in Sections 171-177 of the Companies Act 2006, including duties to act within powers, promote the success of the company, exercise independent judgment, and exercise reasonable care, skill and diligence.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Directors' general duties are set out in Sections 171-177 of the Companies Act 2006, including duties to act within powers, promote the success of the company, exercise independent judgment, and exercise reasonable care, skill and diligence.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"The Supreme Court's 'creditor duty' confirmed that directors must consider, and give effect to, the interests of creditors when insolvency is probable or inevitable.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The Supreme Court's 'creditor duty' confirmed that directors must consider, and give effect to, the interests of creditors when insolvency is probable or inevitable.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Compulsory Liquidation,"Preferential creditors in a compulsory liquidation primarily include certain employee claims and a portion of HMRC debts (for certain taxes like VAT and PAYE, classified as secondary preferential).",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Preferential creditors in a compulsory liquidation primarily include certain employee claims and a portion of HMRC debts (for certain taxes like VAT and PAYE, classified as secondary preferential).. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Compulsory Liquidation,"Secured creditors holding floating charges are paid after liquidation costs and preferential creditors, from the remaining unencumbered assets, in a compulsory liquidation.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Secured creditors holding floating charges are paid after liquidation costs and preferential creditors, from the remaining unencumbered assets, in a compulsory liquidation.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Creditors' Voluntary Liquidation (CVL),"A Creditors' Voluntary Liquidation (CVL) process can be relatively quick, sometimes as fast as 8 days, compared to compulsory liquidation.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A Creditors' Voluntary Liquidation (CVL) process can be relatively quick, sometimes as fast as 8 days, compared to compulsory liquidation.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Administration,"In Administration, the administrator must present their proposals to creditors within 8 weeks of appointment.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): In Administration, the administrator must present their proposals to creditors within 8 weeks of appointment.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Administration,"In Administration, directors must provide a Statement of Company's Affairs within 11 days of the administrator's appointment.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): In Administration, directors must provide a Statement of Company's Affairs within 11 days of the administrator's appointment.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Moratorium,"A standalone moratorium, introduced by the Corporate Insolvency and Governance Act 2020 (CIGA 2020), offers a 'breathing space' for companies in financial difficulty to explore rescue options.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A standalone moratorium, introduced by the Corporate Insolvency and Governance Act 2020 (CIGA 2020), offers a 'breathing space' for companies in financial difficulty to explore rescue options.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Moratorium,"The initial period for a standalone moratorium (under CIGA 2020) is 20 business days, which directors can extend for a further 20 business days without creditor consent.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The initial period for a standalone moratorium (under CIGA 2020) is 20 business days, which directors can extend for a further 20 business days without creditor consent.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Moratorium,A standalone moratorium can be extended for a maximum period of 364 days by court application.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A standalone moratorium can be extended for a maximum period of 364 days by court application.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Members' Voluntary Liquidation (MVL),"For a Members' Voluntary Liquidation (MVL), a majority of directors must make a formal Declaration of Solvency no more than five weeks before the shareholders pass a special resolution to wind up the company.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): For a Members' Voluntary Liquidation (MVL), a majority of directors must make a formal Declaration of Solvency no more than five weeks before the shareholders pass a special resolution to wind up the company.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Dissolution (Voluntary Strike-Off),"For Company Dissolution (Voluntary Strike-Off), if no objections are raised within two months of submitting Form DS01, the company is struck off.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): For Company Dissolution (Voluntary Strike-Off), if no objections are raised within two months of submitting Form DS01, the company is struck off.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
