rec,cat,wp_id,slug,users_12mo,views_12mo,reason,wp_title,link
DELETE,news,67805,poolmageddon-79-of-uk-pools-may-close-within-6-months,4,5,4 users,Poolmageddon: 79% of UK pools May Close Within 6 Months,https://comdebstage.wpengine.com/articles/poolmageddon-79-of-uk-pools-may-close-within-6-months/
DELETE,case_study,47386,language-school,4,4,4 users,"Language School (Creditors’ Voluntary Liquidation, Case Study)",https://comdebstage.wpengine.com/case-studies/language-school/
DELETE,news,13700,can-bradford-rugby-club-saved-liquidation,5,5,5 users,Can Bradford Rugby Club be Saved from Liquidation?,https://comdebstage.wpengine.com/articles/can-bradford-rugby-club-saved-liquidation/
DELETE,news,67900,find-out-why-the-transport-industry-is-prone-to-insolvency,5,6,5 users,Find out Why the Transport Industry is Prone to Insolvency,https://comdebstage.wpengine.com/articles/find-out-why-the-transport-industry-is-prone-to-insolvency/
DELETE,news,52944,all-dishes-off-menu-for-dacampos-my-pasta-bar,6,6,6 users,All Dishes off Menu for D’Acampo’s My Pasta Bar,https://comdebstage.wpengine.com/articles/all-dishes-off-menu-for-dacampos-my-pasta-bar/
DELETE,news,67800,insolvencies-within-the-technology-sector,7,7,7 users,Insolvencies Within the Technology Sector,https://comdebstage.wpengine.com/articles/insolvencies-within-the-technology-sector/
DELETE,news,73803,british-cycle-sales-hit-39-year-low,7,7,7 users,British Cycle Sales Hit 39 Year Low,https://comdebstage.wpengine.com/articles/british-cycle-sales-hit-39-year-low/
DELETE,news,52948,leeds-dino-trail-collapses-into-administration,8,8,8 users,Leeds ‘Dino Trail’ Collapses into Administration,https://comdebstage.wpengine.com/articles/leeds-dino-trail-collapses-into-administration/
DELETE,news,23781,how-much-is-the-digital-sales-tax-going-to-affect-big-tech,9,15,9 users,How Much Will Big Tech Pay Under the new UK Digital Services Tax?,https://comdebstage.wpengine.com/articles/how-much-is-the-digital-sales-tax-going-to-affect-big-tech/
REDIRECT,news,52003,travel-firm-collapses-as-it-cannot-pay-refunds,10,11,10 users,Travel Firm Collapses as it Cannot Pay Refunds,https://comdebstage.wpengine.com/articles/travel-firm-collapses-as-it-cannot-pay-refunds/
REDIRECT,news,13688,88-year-old-retailer-bhs-goes-company-liquidation,10,9,10 users,88 Year Old Retailer BHS goes into Company Liquidation,https://comdebstage.wpengine.com/articles/88-year-old-retailer-bhs-goes-company-liquidation/
REDIRECT,news,59226,will-the-energy-crisis-mean-the-end-for-britains-bakeries,10,12,10 users,Tripled Energy Costs Puts 2500 Small Bakeries at Risk of Insolvency,https://comdebstage.wpengine.com/articles/will-the-energy-crisis-mean-the-end-for-britains-bakeries/
REDIRECT,news,22840,80-homebase-stores-set-to-close-as-part-of-cva,12,18,12 users,80 Homebase Stores Set to Close as Part of CVA,https://comdebstage.wpengine.com/articles/80-homebase-stores-set-to-close-as-part-of-cva/
REDIRECT,news,51774,gieves-hawkes-facing-liquidation,12,10,12 users,Savile Row Institution Gieves & Hawkes Facing Liquidation,https://comdebstage.wpengine.com/articles/gieves-hawkes-facing-liquidation/
REDIRECT,case_study,23462,individual-voluntary-arrangement,14,16,14 users,Individual Voluntary Arrangement Case Study,https://comdebstage.wpengine.com/case-studies/individual-voluntary-arrangement/
REDIRECT,news,20346,paradise-papers,18,15,18 users,What are the Paradise Papers and who are Named in the Scandal?,https://comdebstage.wpengine.com/articles/paradise-papers/
REDIRECT,news,50021,scaffolder-censured-over-bounce-back-loan,18,19,18 users,Scaffolder Censured Over Bounce Back Loan,https://comdebstage.wpengine.com/articles/scaffolder-censured-over-bounce-back-loan/
REDIRECT,news,13606,pink-biscuit-manufacturer-rivington-biscuits-goes-company-administration,21,21,21 users,Pink Biscuit Manufacturer Rivington Biscuits goes into Company Administration,https://comdebstage.wpengine.com/articles/pink-biscuit-manufacturer-rivington-biscuits-goes-company-administration/
REDIRECT,news,52598,failed-arena-television-leaves-trail-of-losses-and-faces-fraud-probe,23,26,23 users,Failed Arena Television Leaves Trail of Losses and Faces Fraud Probe,https://comdebstage.wpengine.com/articles/failed-arena-television-leaves-trail-of-losses-and-faces-fraud-probe/
REDIRECT,news,52342,barnsley-shopping-centre-enters-receivership,25,28,25 users,Barnsley Shopping Centre Enters Receivership,https://comdebstage.wpengine.com/articles/barnsley-shopping-centre-enters-receivership/
REDIRECT,news,9338,equestrian-failed-company-voluntary-arrangement-administration,26,29,26 users,Failed Company Voluntary Arrangement for Equestrian Business Leads to Administration,https://comdebstage.wpengine.com/articles/equestrian-failed-company-voluntary-arrangement-administration/
REDIRECT,news,49303,high-court-closes-insolvent-mini-bond-group,29,37,29 users,High Court Closes Insolvent Mini-bond Group,https://comdebstage.wpengine.com/articles/high-court-closes-insolvent-mini-bond-group/
REDIRECT,news,9696,clothing-retailer-usc-close-30-unfashionable-stores,29,35,29 users,USC Clothing – Retailer to Close 30 ‘Unfashionable’ Stores,https://comdebstage.wpengine.com/articles/clothing-retailer-usc-close-30-unfashionable-stores/
REDIRECT,news,50412,wayne-rooney-scores-21m-from-company-liquidation,30,34,30 users,Wayne Rooney Scores £21m From Company Liquidation,https://comdebstage.wpengine.com/articles/wayne-rooney-scores-21m-from-company-liquidation/
REDIRECT,news,52832,crackdown-on-directors-who-close-companies-to-avoid-debts,30,35,30 users,Crackdown on Directors who Close Companies to Avoid Debts,https://comdebstage.wpengine.com/articles/crackdown-on-directors-who-close-companies-to-avoid-debts/
REDIRECT,news,20980,boulestin-avoids-closure,31,34,31 users,London’s Boulestin Avoids Closure as Administrators Find Buyer,https://comdebstage.wpengine.com/articles/boulestin-avoids-closure/
REDIRECT,news,45894,bans-for-uk-directors-who-avoid-repaying-bounce-back-loans,33,38,33 users,Bans for UK Directors Who Avoid Repaying Bounce Back Loans,https://comdebstage.wpengine.com/articles/bans-for-uk-directors-who-avoid-repaying-bounce-back-loans/
REDIRECT,news,10932,lengthy-disqualifications-for-four-directors-involved-in-vat-fraud,43,53,43 users,Lengthy Disqualifications for Four Directors Involved in VAT Fraud,https://comdebstage.wpengine.com/articles/lengthy-disqualifications-for-four-directors-involved-in-vat-fraud/
REDIRECT,news,9608,disqualified-directors-jailed-continuing-control-companies,44,53,44 users,Disqualified Directors Jailed for Continuing to Control Companies,https://comdebstage.wpengine.com/articles/disqualified-directors-jailed-continuing-control-companies/
REVIEW-REFRESH,news,45349,can-manchester-united-get-out-from-under-its-455-5m-debt,66,67,66 users,Can Manchester United Get Out from Under its £455.5m Debt?,https://comdebstage.wpengine.com/articles/can-manchester-united-get-out-from-under-its-455-5m-debt/
REVIEW-REFRESH,news,51921,bobby-davros-business-goes-bust,77,83,77 users,Bobby Davro’s Business Goes Bust,https://comdebstage.wpengine.com/articles/bobby-davros-business-goes-bust/
REVIEW-REFRESH,news,9951,insolvent-wine-scammers,101,120,101 users,Insolvent Wine Scammer soured by Winding up Petition,https://comdebstage.wpengine.com/articles/insolvent-wine-scammers/
REVIEW-REFRESH,news,44929,is-harley-davidson-heading-for-a-crash,110,131,110 users,Is Harley-Davidson Heading for a Crash?,https://comdebstage.wpengine.com/articles/is-harley-davidson-heading-for-a-crash/
