rec,cat,wp_id,slug,users_12mo,views_12mo,avg_eng_sec,reason,matched_ga_title,wp_title,link
REVIEW-DELETE,case_study,23483,creditors-voluntary-liquidation-with-phoenix,2,2,0.0,"Case study, 2 users in 12mo",Creditors Voluntary Liquidation with Phoenix,Creditors Voluntary Liquidation with Phoenix,https://comdebstage.wpengine.com/case-studies/creditors-voluntary-liquidation-with-phoenix/
REVIEW-DELETE,case_study,47414,freight-forwarder,2,2,0.0,"Case study, 2 users in 12mo",Freight Forwarder Insolvency Case Study,Freight Forwarder Case Study,https://comdebstage.wpengine.com/case-studies/freight-forwarder/
REVIEW-DELETE,case_study,23474,individual-voluntary-arrangement-with-new-limited-company,2,2,0.0,"Case study, 2 users in 12mo",Individual Voluntary Arrangement with new Limited Company,Individual Voluntary Arrangement with new Limited Company,https://comdebstage.wpengine.com/case-studies/individual-voluntary-arrangement-with-new-limited-company/
REVIEW-DELETE,case_study,23524,personal-guarantees,2,2,0.0,"Case study, 2 users in 12mo",Personal Guarantees Case Study,Personal Guarantees Case Study,https://comdebstage.wpengine.com/case-studies/personal-guarantees/
REVIEW-DELETE,case_study,47392,pet-store,2,2,0.0,"Case study, 2 users in 12mo",Pet Store Case Study (Closure by Liquidation),Pet Store Case Study (Closure by Liquidation),https://comdebstage.wpengine.com/case-studies/pet-store/
REVIEW-DELETE,case_study,47442,building-contractor,2,2,0.0,"Case study, 2 users in 12mo",Building Contractor Insolvency Case Study,Building Contractor Case Study,https://comdebstage.wpengine.com/case-studies/building-contractor/
REVIEW-DELETE,case_study,47436,plastering-company,2,2,0.0,"Case study, 2 users in 12mo",Plastering Company Insolvency Case Study,Plastering Company Case Study,https://comdebstage.wpengine.com/case-studies/plastering-company/
REVIEW-DELETE,case_study,47499,subcontractor-agency,3,3,1.7,"Case study, 3 users in 12mo",Subcontractor Agency Insolvency Case Study,Subcontractor Agency Case Study (Creditors Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/subcontractor-agency/
REVIEW-DELETE,case_study,47386,language-school,4,4,0.0,"Case study, 4 users in 12mo","Language School (Creditors’ Voluntary Liquidation, Case Study)","Language School (Creditors’ Voluntary Liquidation, Case Study)",https://comdebstage.wpengine.com/case-studies/language-school/
REDIRECT,news,52003,travel-firm-collapses-as-it-cannot-pay-refunds,10,11,90.2,10 users; redirect to topical hub,Travel Firm Collapses as it Cannot Pay Refunds,Travel Firm Collapses as it Cannot Pay Refunds,https://comdebstage.wpengine.com/articles/travel-firm-collapses-as-it-cannot-pay-refunds/
REDIRECT,news,13688,88-year-old-retailer-bhs-goes-company-liquidation,10,9,37.6,10 users; redirect to topical hub,88 Year Old Retailer BHS goes into Company Liquidation - Company Debt,88 Year Old Retailer BHS goes into Company Liquidation,https://comdebstage.wpengine.com/articles/88-year-old-retailer-bhs-goes-company-liquidation/
REDIRECT,news,59226,will-the-energy-crisis-mean-the-end-for-britains-bakeries,10,12,13.4,10 users; redirect to topical hub,Tripled Energy Costs Puts 2500 Small Bakeries at Risk of Insolvency,Tripled Energy Costs Puts 2500 Small Bakeries at Risk of Insolvency,https://comdebstage.wpengine.com/articles/will-the-energy-crisis-mean-the-end-for-britains-bakeries/
REDIRECT,news,22840,80-homebase-stores-set-to-close-as-part-of-cva,12,18,87.1,12 users; redirect to topical hub,80 Homebase Stores Set to Close as Part of CVA,80 Homebase Stores Set to Close as Part of CVA,https://comdebstage.wpengine.com/articles/80-homebase-stores-set-to-close-as-part-of-cva/
REDIRECT,news,51774,gieves-hawkes-facing-liquidation,12,10,42.9,12 users; redirect to topical hub,Savile Row Institution Gieves & Hawkes Facing Liquidation,Savile Row Institution Gieves & Hawkes Facing Liquidation,https://comdebstage.wpengine.com/articles/gieves-hawkes-facing-liquidation/
REDIRECT,news,20346,paradise-papers,18,15,62.4,18 users; redirect to topical hub,What are the Paradise Papers and who are Named in the Scandal?,What are the Paradise Papers and who are Named in the Scandal?,https://comdebstage.wpengine.com/articles/paradise-papers/
REDIRECT,news,50021,scaffolder-censured-over-bounce-back-loan,18,19,142.8,18 users; redirect to topical hub,Scaffolder Censured Over Bounce Back Loan,Scaffolder Censured Over Bounce Back Loan,https://comdebstage.wpengine.com/articles/scaffolder-censured-over-bounce-back-loan/
REDIRECT,news,13606,pink-biscuit-manufacturer-rivington-biscuits-goes-company-administration,21,21,25.8,21 users; redirect to topical hub,Pink Biscuit Manufacturer Rivington Biscuits goes into Company Administration - Company Debt,Pink Biscuit Manufacturer Rivington Biscuits goes into Company Administration,https://comdebstage.wpengine.com/articles/pink-biscuit-manufacturer-rivington-biscuits-goes-company-administration/
REDIRECT,news,52598,failed-arena-television-leaves-trail-of-losses-and-faces-fraud-probe,23,26,54.6,23 users; redirect to topical hub,Failed Arena Television Leaves Trail of Losses and Faces Fraud Probe,Failed Arena Television Leaves Trail of Losses and Faces Fraud Probe,https://comdebstage.wpengine.com/articles/failed-arena-television-leaves-trail-of-losses-and-faces-fraud-probe/
REDIRECT,news,52342,barnsley-shopping-centre-enters-receivership,25,28,19.8,25 users; redirect to topical hub,Barnsley Shopping Centre Enters Receivership,Barnsley Shopping Centre Enters Receivership,https://comdebstage.wpengine.com/articles/barnsley-shopping-centre-enters-receivership/
REDIRECT,news,9338,equestrian-failed-company-voluntary-arrangement-administration,26,29,25.5,26 users; redirect to topical hub,Failed Company Voluntary Arrangement for Equestrian Business Leads to Administration - Company Debt,Failed Company Voluntary Arrangement for Equestrian Business Leads to Administration,https://comdebstage.wpengine.com/articles/equestrian-failed-company-voluntary-arrangement-administration/
REDIRECT,news,49303,high-court-closes-insolvent-mini-bond-group,29,37,63.6,29 users; redirect to topical hub,High Court Closes Insolvent Mini-bond Group,High Court Closes Insolvent Mini-bond Group,https://comdebstage.wpengine.com/articles/high-court-closes-insolvent-mini-bond-group/
REDIRECT,news,9696,clothing-retailer-usc-close-30-unfashionable-stores,29,35,41.9,29 users; redirect to topical hub,USC Clothing - Retailer to Close 30 ‘Unfashionable’ Stores - Company Debt,USC Clothing – Retailer to Close 30 ‘Unfashionable’ Stores,https://comdebstage.wpengine.com/articles/clothing-retailer-usc-close-30-unfashionable-stores/
REDIRECT,news,50412,wayne-rooney-scores-21m-from-company-liquidation,30,34,47.4,30 users; redirect to topical hub,Wayne Rooney Scores £21m From Company Liquidation,Wayne Rooney Scores £21m From Company Liquidation,https://comdebstage.wpengine.com/articles/wayne-rooney-scores-21m-from-company-liquidation/
REDIRECT,news,52832,crackdown-on-directors-who-close-companies-to-avoid-debts,30,35,78.9,30 users; redirect to topical hub,Crackdown on Directors who Close Companies to Avoid Debts,Crackdown on Directors who Close Companies to Avoid Debts,https://comdebstage.wpengine.com/articles/crackdown-on-directors-who-close-companies-to-avoid-debts/
REDIRECT,news,20980,boulestin-avoids-closure,31,34,30.7,31 users; redirect to topical hub,London's Boulestin Avoids Closure as Administrators Find Buyer,London’s Boulestin Avoids Closure as Administrators Find Buyer,https://comdebstage.wpengine.com/articles/boulestin-avoids-closure/
REDIRECT,news,45894,bans-for-uk-directors-who-avoid-repaying-bounce-back-loans,33,38,29.8,33 users; redirect to topical hub,Bounce Back Loans,Bans for UK Directors Who Avoid Repaying Bounce Back Loans,https://comdebstage.wpengine.com/articles/bans-for-uk-directors-who-avoid-repaying-bounce-back-loans/
REDIRECT,news,10932,lengthy-disqualifications-for-four-directors-involved-in-vat-fraud,43,53,51.3,43 users; redirect to topical hub,Lengthy Disqualifications for Four Directors Involved in VAT Fraud - Company Debt,Lengthy Disqualifications for Four Directors Involved in VAT Fraud,https://comdebstage.wpengine.com/articles/lengthy-disqualifications-for-four-directors-involved-in-vat-fraud/
REDIRECT,news,9608,disqualified-directors-jailed-continuing-control-companies,44,53,77.0,44 users; redirect to topical hub,Disqualified Directors Jailed for Continuing to Control Companies - Company Debt,Disqualified Directors Jailed for Continuing to Control Companies,https://comdebstage.wpengine.com/articles/disqualified-directors-jailed-continuing-control-companies/
REVIEW-REFRESH,news,45349,can-manchester-united-get-out-from-under-its-455-5m-debt,66,67,44.5,66 users; worth proper rewrite or delete,Can Manchester United Get Out from Under its £455.5m Debt?,Can Manchester United Get Out from Under its £455.5m Debt?,https://comdebstage.wpengine.com/articles/can-manchester-united-get-out-from-under-its-455-5m-debt/
REVIEW-REFRESH,news,51921,bobby-davros-business-goes-bust,77,83,68.5,77 users; worth proper rewrite or delete,Bobby Davro’s Business Goes Bust,Bobby Davro’s Business Goes Bust,https://comdebstage.wpengine.com/articles/bobby-davros-business-goes-bust/
REVIEW-REFRESH,news,9951,insolvent-wine-scammers,101,120,76.1,101 users; worth proper rewrite or delete,Insolvent Wine Scammer soured by Winding up Petition - Company Debt,Insolvent Wine Scammer soured by Winding up Petition,https://comdebstage.wpengine.com/articles/insolvent-wine-scammers/
REVIEW-REFRESH,news,44929,is-harley-davidson-heading-for-a-crash,110,131,80.5,110 users; worth proper rewrite or delete,Is Harley-Davidson Heading for a Crash?,Is Harley-Davidson Heading for a Crash?,https://comdebstage.wpengine.com/articles/is-harley-davidson-heading-for-a-crash/
KEEP-LIGHT,services_to,50894,asset-based-and-other-lenders,0,0,0.0,Partner referral page,,Insolvency Support for Lenders,https://comdebstage.wpengine.com/services-to/asset-based-and-other-lenders/
KEEP-LIGHT,services_to,50889,banks,0,0,0.0,Partner referral page,,Insolvency Support for Banks,https://comdebstage.wpengine.com/services-to/banks/
KEEP-LIGHT,services_to,50825,solicitors,0,0,0.0,Partner referral page,,Insolvency Support for Solicitors,https://comdebstage.wpengine.com/services-to/solicitors/
KEEP-LIGHT,services_to,50710,accountants,0,0,0.0,Partner referral page,,Insolvency Support for Accountants,https://comdebstage.wpengine.com/services-to/accountants/
KEEP-LIGHT,services_to,51087,creditors,1,1,6.0,Partner referral page,Insolvency Support for Creditors,Insolvency Support for Creditors,https://comdebstage.wpengine.com/services-to/creditors/
KEEP-LIGHT,case_study,23462,individual-voluntary-arrangement,14,16,45.8,"Case study, 14 users",Individual Voluntary Arrangement (IVA) Explained: UK Debt Solution Guide,Individual Voluntary Arrangement Case Study,https://comdebstage.wpengine.com/case-studies/individual-voluntary-arrangement/
KEEP-REFRESH,sector,49739,recruitment,0,0,0.0,Sector landing page; refresh content properly,,Insolvency & Rescue Solutions for Recruitment Consultancies,https://comdebstage.wpengine.com/sectors/recruitment/
KEEP-REFRESH,sector,55751,insolvency-rescue-fish-chip-sector,0,0,0.0,Sector landing page; refresh content properly,,Insolvency & Rescue Solutions for the Fish & Chip Sector,https://comdebstage.wpengine.com/sectors/insolvency-rescue-fish-chip-sector/
KEEP-REFRESH,sector,49866,haulage,0,0,0.0,Sector landing page; refresh content properly,,Insolvency & Rescue Solutions for Haulage Companies,https://comdebstage.wpengine.com/sectors/haulage/
KEEP-REFRESH,sector,49898,energy,0,0,0.0,Sector landing page; refresh content properly,,Insolvency & Rescue Solutions for Energy Providers,https://comdebstage.wpengine.com/sectors/energy/
KEEP-REFRESH,sector,49906,schools,0,0,0.0,Sector landing page; refresh content properly,,Insolvency & Rescue Solutions for Schools,https://comdebstage.wpengine.com/sectors/schools/
KEEP-REFRESH,sector,49767,cleaning-contractors,1,6,0.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Cleaning Sector,Insolvency & Rescue Solutions for the Cleaning Sector,https://comdebstage.wpengine.com/sectors/cleaning-contractors/
KEEP-REFRESH,sector,49831,manufacturing,1,1,7.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Manufacturing,Insolvency & Rescue Solutions for Manufacturing,https://comdebstage.wpengine.com/sectors/manufacturing/
KEEP-REFRESH,sector,49820,professional-services,1,1,36.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Professional Services Businesses,Insolvency & Rescue Solutions for Professional Services Businesses,https://comdebstage.wpengine.com/sectors/professional-services/
KEEP-REFRESH,sector,49873,gyms,1,1,11.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Gyms,Insolvency & Rescue Solutions for Gyms,https://comdebstage.wpengine.com/sectors/gyms/
KEEP-REFRESH,sector,49880,events,1,2,155.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Event Management Businesses,Insolvency & Rescue Solutions for Event Management Businesses,https://comdebstage.wpengine.com/sectors/events/
KEEP-REFRESH,sector,49706,taxi-companies,1,1,0.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Taxi Companies,Insolvency & Rescue Solutions for Taxi Companies,https://comdebstage.wpengine.com/sectors/taxi-companies/
KEEP-REFRESH,sector,49810,property,2,2,65.5,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Property Sector,Insolvency & Rescue Solutions for the Property Sector,https://comdebstage.wpengine.com/sectors/property/
KEEP-REFRESH,sector,49849,dry-cleaning-laundry,2,2,18.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Laundry and Dry Cleaning Providers,Insolvency & Rescue Solutions for Laundry and Dry Cleaning Providers,https://comdebstage.wpengine.com/sectors/dry-cleaning-laundry/
KEEP-REFRESH,sector,49856,hotels,2,3,6.5,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Hotels,Insolvency & Rescue Solutions for Hotels,https://comdebstage.wpengine.com/sectors/hotels/
KEEP-REFRESH,sector,49890,entertainment,2,2,44.5,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Entertainment Businesses,Insolvency & Rescue Solutions for Entertainment Businesses,https://comdebstage.wpengine.com/sectors/entertainment/
KEEP-REFRESH,sector,48758,automotive,3,5,16.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Automotive Sector,Insolvency & Rescue Solutions for the Automotive Sector,https://comdebstage.wpengine.com/sectors/automotive/
KEEP-REFRESH,sector,49839,leisure,4,4,24.2,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Leisure Businesses,Insolvency & Rescue Solutions for Leisure Businesses,https://comdebstage.wpengine.com/sectors/leisure/
KEEP-REFRESH,sector,49727,restaurants,5,5,25.4,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Restaurants,Insolvency & Rescue Solutions for Restaurants,https://comdebstage.wpengine.com/sectors/restaurants/
KEEP-REFRESH,sector,49699,travel,5,5,0.0,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Travel Sector,Insolvency & Rescue Solutions for the Travel Sector,https://comdebstage.wpengine.com/sectors/travel/
KEEP-REFRESH,sector,52222,insolvency-rescue-solutions-for-garden-centers,5,5,23.6,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Garden Centers,Insolvency & Rescue Solutions for Garden Centers,https://comdebstage.wpengine.com/sectors/insolvency-rescue-solutions-for-garden-centers/
KEEP-REFRESH,sector,49694,childcare,5,5,0.4,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Childcare Sector,Insolvency & Rescue Solutions for the Childcare Sector,https://comdebstage.wpengine.com/sectors/childcare/
KEEP-REFRESH,sector,49550,charity,5,8,89.2,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Charity and Non-Profit Sector,Insolvency & Rescue Solutions for the Charity and Non-Profit Sector,https://comdebstage.wpengine.com/sectors/charity/
KEEP-REFRESH,sector,49717,retail,8,11,49.5,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for Retail Businesses,Insolvency & Rescue Solutions for Retail Businesses,https://comdebstage.wpengine.com/sectors/retail/
KEEP-REFRESH,sector,49488,carehomes,9,10,68.3,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Care Home Sector,Insolvency & Rescue Solutions for the Care Home Sector,https://comdebstage.wpengine.com/sectors/carehomes/
KEEP-REFRESH,sector,49778,construction,11,12,42.5,Sector landing page; refresh content properly,Insolvency & Rescue Solutions for the Construction Sector,Insolvency & Rescue Solutions for the Construction Sector,https://comdebstage.wpengine.com/sectors/construction/
KEEP,hub,77694,articles-insights-hub,1,4,19.0,Hub page,Articles & Insights Hub,Articles & Insights Hub,https://comdebstage.wpengine.com/business-insolvency/articles-insights-hub/
