detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes,cannibalisation_risk,cannibal_owner_url
n11,HMRC's preferential creditor status was introduced by the Finance Act 2020.,Legal / Regulatory,HMRC,Finance Act 2020,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFU4dZjREzW8GULKWhvEOtSjahbwQHiP-pV4SFoB63QYL_uK-nyqoEMcecHjtuRod0goN9GnoHlzd3gW-gECIpZKca6sY7qrLQQzUyKA0Z3H95cFcJAY7whSuCeD5AqS1CNnXtH3SrVuudEJAmcF4pr1HrM40TxM438tV4iv-vpdLsjmJMiGKi65eAJXiwU4eVF3WWQQ9Wdtw=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · risk|gemini · usecase-3,missing,source_note,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/2020/14/part/4/crossheading/insolvency/enacted,"In Schedule 6 to that Act (preferential debts) after paragraph 15C insert—. Category 9: Certain HMRC debts. 15D(1)Any amount owed at the relevant date by the debtor to the Commissioners in respect of—. (a)value added tax, or. (b)a relevant deduction.",2026-06-10,grounded,"HMRC's secondary preferential creditor status was introduced by the Finance Act 2020, specifically Section 98, which amended Schedule 6 of the Insolvency Act 1986. The changes took effect for insolvencies commencing on or after 1 December 2020. This status applies to certain taxes collected by businesses on behalf of others, such as VAT, PAYE, and employee National Insurance contributions.",False,
n12,"HMRC's secondary preferential creditor status applies to PAYE, VAT, employee National Insurance Contributions, student loan repayments, and Construction Industry Scheme deductions.",Creditor / HMRC Treatment,HMRC,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHJ0vj95XBtzpJnjOV53FdHXN0RZ_s4iUAYn4u_7z37DRqJVvaqFvdZbaoCbsrNUT9GiuMvFqmIDk1BReDh884nePDJCEx3e58lWtM5XVwTPlkYCVZd0MFoDKawQcDnD5PWwIg_GvxCqhrZF7sJb0QAwy0sohEssQ==|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFU4dZjREzW8GULKWhvEOtSjahbwQHiP-pV4SFoB63QYL_uK-nyqoEMcecHjtuRod0goN9GnoHlzd3gW-gECIpZKca6sY7qrLQQzUyKA0Z3H95cFcJAY7whSuCeD5AqS1CNnXtH3SrVuudEJAmcF4pr1HrM40TxM438tV4iv-vpdLsjmJMiGKi65eAJXiwU4eVF3WWQQ9Wdtw=,gemini · broad|gemini · risk,missing,definition_block,,medium,True,True,True,,verified,https://www.legislation.gov.uk/uksi/2020/1241/pdfs/uksi_20201241_en.pdf,"From 1 December 2020, once ordinary preferential creditors have been paid, HMRC will be a secondary preferential creditor for taxes held on behalf of employees and customers. These changes only apply to VAT and CIS, employee NICs, PAYE and student loan deductions.",2026-06-10,grounded,"HMRC's secondary preferential creditor status, introduced by the Finance Act 2020, applies to insolvencies commencing on or after 1 December 2020. The specific deductions are clarified in The Insolvency Act 1986 (HMRC Debts: Priority on Insolvency) Regulations 2020.",False,
n13,HMRC can issue Personal Liability Notices (PLNs) under the Social Security Administration Act 1998 to make directors personally liable for unpaid PAYE and National Insurance Contributions (NICs) if the failure to pay was due to the director's fraud or neglect.,Director Liability / Personal Risk,HMRC,Personal Liability Notice (PLN),,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGp3m3AdbyblSgJAlUaJdInPnnuc3b3OCxc_YB36p1ZZFc-FQUVcml4qzWm0OxVt7W5CTo7E-AlTOFYKdHZEOs6x-KKxB0H3eWilbs9wfr_EHdLq_nRVi-hdRHP_UJkf4obP7XcWSU3KiarYndfMonCk-MGpxLEYySz5baG1Idgs4yzqimnNOkNZjeKokrV7T8xoN-WdNxI|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,partially_verified,https://www.legislation.gov.uk/ukpga/1992/5/section/121C,"This section applies to contributions which a body corporate is liable to pay, where— (a)the body corporate has failed to pay the contributions at or within the time prescribed for the purpose; and (b)the failure appears to the [F2Inland Revenue] to be attributable to fraud or neglect on the part of one or more individuals who, at the time of the fraud or neglect, were officers of the body corporate (“culpable officers”).",2026-06-10,grounded,"The power for HMRC to issue Personal Liability Notices (PLNs) to make directors personally liable for unpaid National Insurance Contributions (NICs) due to fraud or neglect is indeed found in Section 121C of the Social Security Administration Act 1992. While the claim refers to the Social Security Administration Act 1998, this Act, specifically Section 64, introduced the PLN mechanism and came into effect on 6 April 2009, making amendments to the Social Security Administration Act 1992 to insert Section 121C. Therefore, the originating legislative event for the PLN was the 1998 Act, but the specific power resides within the 1992 Act. HMRC's guidance consistently refers to Section 121C of the Social Security Administration Act 1992 in relation to NICs. However, the claim's inclusion of PAYE alongside NICs as being covered by this specific PLN under the Social Security Administration Act is not directly supported by the text of Section 121C itself, which refers to 'contributions' (understood as NICs), or by HMRC's specific guidance on this section. Other statutory provisions may cover personal liability for PAYE, but not under this specific PLN as stated in the claim.",False,
n14,"The liquidator's post-appointment fees can be calculated as a percentage of realised assets, based on time spent, or a set amount.",Cost / Fees,Creditors' Voluntary Liquidation,Liquidator's Fees,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG8-7DB4G1lDbUIrn7xfaqEWbx3w0_hQKVvxas9dX99N9LXJ4raNd54o2sx8bosxv1zHUT3oXVeUPLwlOObZzDTJb5uU_3B4HF3hCU-PfmHzhBK5KSalV8ov1x7m0pSS3BorTxEoXgO8jkqX4X-grko2QJzLUyfGlKntTUnRzd4j4BNe2zBY0nEH7jIMi30Fdq8fa634b60,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.legislation.gov.uk/uksi/2016/1024/rule/18.16/made,"An administrator, liquidator or trustee in bankruptcy is entitled to receive remuneration for services as office-holder. The remuneration may be fixed (a) as a percentage of the value of the assets which are realised or distributed or both, or (b) by reference to the time properly given by the office-holder and the office-holder's staff in attending to matters arising in the insolvency, or (c) as a set amount.",2026-06-10,grounded,"This is from Rule 18.16(1) and (2) of The Insolvency (England and Wales) Rules 2016, which came into force on 6th April 2017.",False,
n15,Occasional creditor contributions may be considered in rare circumstances to help cover liquidation costs.,Cost / Fees,Creditors' Voluntary Liquidation,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG9ixOBfZOVVSLUE4JC5yZcxs_qGmlZfrW1We0HT2_j4hHDNLqoUokTsW4DMNJvZcOODA78eZahZRuKfnbIBx5TiVUK5ZOGLkxb8U373lvSbXFbo4Yzf4Q8W9WSq7vi-ijNmTcdFVGw0-z9FxnpVqZo-NFT-57MQSd-XRf6DISdiAEUgAblryL9TjJhg1P6O9pv3sWJPn8C8dx0RxbB_lS4ZgBlXw==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,contradicted,https://www.legislation.gov.uk/uksi/2016/1024/rule/6.42/made,"All fees, costs, charges and other expenses incurred in the course of the winding up are to be treated as expenses of the winding up. The expenses of the winding up are payable out of— (a) assets of the company available for the payment of general creditors, including— (i) proceeds of any legal action which the liquidator has power to bring in the liquidator's own name or in the name of the company, (ii) proceeds arising from any award made under any arbitration or other dispute resolution procedure which the liquidator has power to bring in the liquidator's own name or in the name of the company (b) subject as provided in rules 6.44 to 6.48, property comprised in or subject to a floating charge created by the company.",2026-06-10,grounded,Rule 6.42 of The Insolvency (England and Wales) Rules 2016 (in force) clearly states that the expenses of a Creditors' Voluntary Liquidation are payable out of the company's assets. There is no provision in authoritative UK legislation or official guidance for creditors to make contributions to cover liquidation costs. The general principle from official guidance is that liquidation costs are paid from the company's assets.,False,
n16,"Directors are eligible for redundancy pay if they worked at least 16 hours per week and were employed for a minimum of two years, with payments being part of a government-backed scheme.",Eligibility / Criteria,Director Redundancy,,"16 hours per week, 2 years",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG0YGkFgwVRC1r-h6thi2jwKQsRTPtuT97RiWZVpTsF_KAZa0xhmTWygrCSiPLGQLfqh9nE5DbkpdYmCC7SiLzEgP_SM3ke3chjaWIcpVYHKfIso_zfvhkTIAMSm62hizKxyPoUm6-i0uN_3WNaBOTuBWzC0N-aw9tvgmdXUw7xm9Q_G3dhfz5MceyyFfchfTZaCMFlI68_IGpHcHrNIEoIXsf1idlINewj3N4iRIuMS-|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG9ixOBfZOVVSLUE4JC5yZcxs_qGmlZfrW1We0HT2_j4hHDNLqoUokTsW4DMNJvZcOODA78eZahZRuKfnbIBx5TiVUK5ZOGLkxb8U373lvSbXFbo4Yzf4Q8W9WSq7vi-ijNmTcdFVGw0-z9FxnpVqZo-NFT-57MQSd-XRf6DISdiAEUgAblryL9TjJhg1P6O9pv3sWJPn8C8dx0RxbB_lS4ZgBlXw==,gemini · broad|gemini · usecase-2,missing,comparison_table_column,,medium,True,True,True,,partially_verified,https://www.gov.uk/guidance/check-if-you-can-apply-for-redundancy-payments-as-a-company-director,Removal of 'you worked a minimum of 16 hours per week' from criteria that must be met for us to consider a claim.,2026-06-10,grounded,"Directors are eligible for redundancy pay if they can demonstrate they were also employees of the company. The requirement for directors to have worked a minimum of 16 hours per week was removed from the Insolvency Service's criteria for considering a claim on 30 September 2022. However, to qualify for statutory redundancy pay, an employee (including a director acting as an employee) must generally have been employed for a minimum of two years. Payments are part of a government-backed scheme, administered by the Redundancy Payments Service (part of the Insolvency Service) from the National Insurance Fund.",False,
n17,"The Insolvency Service can seek compensation orders under Section 15A of the Company Directors Disqualification Act 1986, requiring a disqualified director to pay compensation for losses to creditors resulting from their misconduct.",Director Liability / Personal Risk,The Insolvency Service,s.15A CDDA 1986,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached,False,
n18,Disqualification proceedings under the Company Directors Disqualification Act 1986 usually must be commenced against the director within three years of the date of the formal insolvency of the company.,Timeline / Duration,The Insolvency Service,CDDA 1986,3 years,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · usecase-3,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached,False,
n19,Section 216 of the Insolvency Act 1986 (phoenixing rules) aims to prevent directors from deliberately winding up a company to avoid debts and then immediately restarting a similar business.,Legal / Regulatory,Creditors' Voluntary Liquidation,s.216 Insolvency Act 1986,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · usecase-3,missing,source_note,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached,False,
n20,An exception to the Section 216 (phoenixing) restrictions is purchasing the business from the liquidator with proper notice.,Legal / Regulatory,Creditors' Voluntary Liquidation,s.216 Insolvency Act 1986,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG2zqXvuPd7OASpUOXVw1DE9odYeAmSf6H3ppIVHFDoEv2QYfxf-5tvi-NXBwZqK-Uk9IUYS546N4BPPU0fpghAowB7ImZ5XzqpFw342U7bh8uXXXZ_7vaC8UGJ1k5iC4G3rDfcP8ye4RKb06FjvxW_nIfPs35ox3PiZeJzdplTc-xt5O6-tXfHQXqmBdNgmO6FfZDYBxeJVt_Cdc_qE1EAks_9ArtcFmXWzDsw|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · risk|gemini · usecase-3,missing,source_note,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached,False,
n21,"For a CVA to be approved, the resolution will be invalid if more than half of the total value of unconnected creditors who vote, vote against it.",Eligibility / Criteria,Company Voluntary Arrangement (CVA),,50%,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAP4Vw1l30RA2p_BP2yKfH55OwyZQ1aFHqtzBhCg-BQabKlgUrDnqFz88YbLr2KauEMXgEuAk62z6AFHZHmqSeRp7sfS__yxIvcFytSe3P6mwz0ZCNquYUhc0kKVid2nEpeETC87S3GnQ1QBC3ctXsS6it9u84VzDmSKaumrM_a3hfngHCMXVnVyMOVk5SwQ==,gemini · usecase-4,missing,comparison_table_column,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached,False,
n22,"A CVA is typically suitable for companies with debts over £10,000.",Eligibility / Criteria,Company Voluntary Arrangement (CVA),,"£10,000",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAP4Vw1l30RA2p_BP2yKfH55OwyZQ1aFHqtzBhCg-BQabKlgUrDnqFz88YbLr2KauEMXgEuAk62z6AFHZHmqSeRp7sfS__yxIvcFytSe3P6mwz0ZCNquYUhc0kKVid2nEpeETC87S3GnQ1QBC3ctXsS6it9u84VzDmSKaumrM_a3hfngHCMXVnVyMOVk5SwQ==,gemini · usecase-4,missing,comparison_table_column,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached,False,
