subject,detail,verification_status,official_check_url,browser_prompt,notes
HMRC,"HMRC can issue Personal Liability Notices (PLNs) for director failures in paying PAYE, NICs, or CIS deductions.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC can issue Personal Liability Notices (PLNs) for director failures in paying PAYE, NICs, or CIS deductions.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
HMRC,HMRC can issue Joint and Several Liability Notices (JLNs) targeting directors involved in repeated insolvencies ('phoenixism').,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC can issue Joint and Several Liability Notices (JLNs) targeting directors involved in repeated insolvencies ('phoenixism').. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Directors Disqualification Act 1986,Director disqualification proceedings must generally be issued within three years of the company entering administration.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Director disqualification proceedings must generally be issued within three years of the company entering administration.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Directors Disqualification Act 1986,Director disqualification periods range from 2 to 15 years.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Director disqualification periods range from 2 to 15 years.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Directors Disqualification Act 1986,Disqualification for reckless or negligent conduct typically ranges from 2 to 5 years.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Disqualification for reckless or negligent conduct typically ranges from 2 to 5 years.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Directors Disqualification Act 1986,Disqualification for serious misconduct detrimental to public interest typically ranges from 6 to 10 years.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Disqualification for serious misconduct detrimental to public interest typically ranges from 6 to 10 years.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Directors Disqualification Act 1986,"Disqualification for the most severe breaches, including fraudulent or criminal behaviour, typically ranges from 11 to 15 years.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Disqualification for the most severe breaches, including fraudulent or criminal behaviour, typically ranges from 11 to 15 years.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Directors Disqualification Act 1986,Breaching a director disqualification order is a criminal offence.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Breaching a director disqualification order is a criminal offence.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
General,A director's duties shift to prioritising creditors' interests once a company is insolvent or faces insolvency.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A director's duties shift to prioritising creditors' interests once a company is insolvent or faces insolvency.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,The temporary suspension of personal liability for wrongful trading introduced by the Corporate Insolvency and Governance Act 2020 has expired.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The temporary suspension of personal liability for wrongful trading introduced by the Corporate Insolvency and Governance Act 2020 has expired.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,An initial automatic moratorium lasts for 10 business days upon filing a Notice of Intention to Appoint.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): An initial automatic moratorium lasts for 10 business days upon filing a Notice of Intention to Appoint.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,An administrator has 8 weeks to submit detailed proposals to creditors.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): An administrator has 8 weeks to submit detailed proposals to creditors.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,A creditors' meeting to approve proposals must be held within 10 weeks of the company entering administration.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A creditors' meeting to approve proposals must be held within 10 weeks of the company entering administration.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Creditors typically receive at least 14 days' notice for a meeting to approve proposals.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Creditors typically receive at least 14 days' notice for a meeting to approve proposals.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Administration is generally intended to last no longer than 12 months.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Administration is generally intended to last no longer than 12 months.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Administration can be extended for a further 12 months with creditor consent.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Administration can be extended for a further 12 months with creditor consent.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,"Administration can be extended indefinitely by the Court, especially for large or complex cases.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Administration can be extended indefinitely by the Court, especially for large or complex cases.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Standalone Moratorium (CIGA),A standalone CIGA moratorium provides an initial 20 business days of protection from creditor action.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A standalone CIGA moratorium provides an initial 20 business days of protection from creditor action.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Standalone Moratorium (CIGA),"Companies in a standalone CIGA moratorium must continue to pay debts falling due during the moratorium, but not those due before.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Companies in a standalone CIGA moratorium must continue to pay debts falling due during the moratorium, but not those due before.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Informal Arrangements,Informal arrangements with creditors are not legally binding on all creditors unless formally documented and approved by all parties.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Informal arrangements with creditors are not legally binding on all creditors unless formally documented and approved by all parties.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,The administrator examines director conduct for wrongful trading under section 214 IA 1986.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The administrator examines director conduct for wrongful trading under section 214 IA 1986.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,The administrator examines director conduct for preference payments under section 239.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The administrator examines director conduct for preference payments under section 239.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,The administrator examines director conduct for transactions at undervalue under section 238.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The administrator examines director conduct for transactions at undervalue under section 238.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,The administrator examines director conduct for misfeasance under section 212.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The administrator examines director conduct for misfeasance under section 212.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
